JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
627       AOK07a   CS30312-100                2MASS_J15433166+0201174              -2.38   0.45   
630       ROE14b   CS30312-100                2MASS_J15433166+0201174              -2.69   0.38   
632       ROE14b   CS22884-108                2MASS_J15495758-0914092              -3.1    0.31   
649       ROE14b   CS22878-101                2MASS_J16453144+0814454              -3.53   0.6    
652       PRE06    CS22878-121                2MASS_J16475003+1139112              -2.38   0.28   
657       COH09    Draco21456                 2MASS_J17181038+5752090              -2.39   0.18   
658       SHE01    Draco473                   2MASS_J17193600+5756289              -1.42   -0.23  
659       COH09    Draco3150                  2MASS_J17193630+5751247              -1.94   0.17   
660       SHE01    Draco343                   2MASS_J17201351+5751591              -1.84   0.02   
661       COH09    Draco361                   2MASS_J17203417+5753319              -1.54   -0.01  
662       COH09    Draco19219                 2MASS_J17214368+5757126              -3.06   0.32   
663       COH09    Draco19629                 2MASS_J17215819+5756042              -2.7    0.19   
667       PRE00    CS22896-0103               2MASS_J19331547-5458520              -0.08   0.31   
676       ROE14b   CS22891-209                2MASS_J19420216-6103446              -3.49   0.52   
685       PRE00    CS22964-074                2MASS_J19492941-3942394              -1.98   -0.03  
692       ROE14b   CS22873-128                2MASS_J20070379-5834575              -3.32   0.67   
694       PRE00    CS22885-048                2MASS_J20195377-3856360              -1.34   0.37   
707       PRE00    CS22950-078                2MASS_J20245779-1629577              -1.84   0.24   
708       ROE14b   CS22943-137                2MASS_J20262899-4300426              -3.64   0.73   
711       PRE00    CS22950-173                2MASS_J20353125-1553306              -2.48   0.34   
712       PRE00    CS22880-058                2MASS_J20435597-2136325              -1.83   -0.13  
715       BAR05    CS30308-035                2MASS_J20455414-4450293              -3.35   -0.01  
717       PRE01    CS22880-074                2MASS_J20460321-2059141              -1.78   0.04   
722       ROE14b   CS30314-067                2MASS_J20525098-3419405              -3.31   0.56   
727       ROE14b   CS22897-008                2MASS_J21031185-6505088              -3.83   0.6    
735       ROE14b   CS29498-043                2MASS_J21035211-2942502              -3.87   1.78   
741       PRE01    CS22898-027                2MASS_J21054509-1836574              -2.17   0.11   
743       ROE14b   CS30492-001                2MASS_J21055523-4210101              -2.62   0.47   
745       ROE14b   CS30492-110                2MASS_J21214583-3808579              -3.27   0.53   
747       AOK07a   CS30322-023                2MASS_J21303218-4616247              -3.3    0.52   
750       PRE06    CS22948-006                2MASS_J21331768-3939428              -2.62   0.31   
751       BAR05    HE2133-1432                2MASS_J21362253-1419203              -2.02   0.32   
757       BAR05    HE2134+0001                2MASS_J21370818+0015045              -2.22   0.37   
760       AOK07a   CS22948-027                2MASS_J21374577-3927223              -2.26   0.53   
762       PRE01    CS22948-027                2MASS_J21374577-3927223              -2.79   0.33   
763       ROE14b   CS29495-042                2MASS_J21391140-2817544              -2.54   0.38   
765       BAR05    HE2139-1851                2MASS_J21422951-1837506              -3.24   0.34   
766       PRE06    CS22944-039                2MASS_J21451226-1441248              -2.41   0.37   
767       BAR05    CS30343-063                2MASS_J21451750-3722185              -2.97   0.43   
768       BAR05    HE2143+0030                2MASS_J21461207+0044457              -2.43   0.2    
769       PRE00    CS22948-079                2MASS_J21472920-3925192              -1.61   0.2    
772       ROE14b   CS22944-032                2MASS_J21474322-1340227              -3.22   0.55   
773       BAR05    HE2145-3025                2MASS_J21484333-3011082              -2.69   0.34   
774       PRE00    CS22948-068                2MASS_J21490692-3727524              -1.35   0.51   
776       COH13    HE2148-1247                2MASS_J21511791-1233417              -2.3    0.36   
778       BAR05    HE2150-0825                2MASS_J21530016-0811182              -1.98   0.33   
779       BAR05    HE2151-2858                2MASS_J21540157-2844199              -2.38   0.35   
781       BAR05    HE2153-2719                2MASS_J21560407-2704497              -2.49   0.35   
784       ROE14b   CS22965-016                2MASS_J21570791-0434083              -3.13   0.6    
